CompanyCode,Stkcd,Date,Clpr,Trdvol,Trdsum,Dret,PE,PB,PCF,PS,EPS,ROE
"3","000001",2024-03-28,"10.4900","130218892","1362980388.48","-0.0038","4.38","0.40","1.35","1.01","2.39","9.835300"
"3","000001",2024-03-29,"10.5200","87275898","917332315.96","0.0029","4.39","0.40","1.35","1.01","2.39","9.835300"
"3","000001",2024-04-01,"10.6400","119108796","1261770380.39","0.0114","4.41","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-02,"10.5500","108545826","1149700799.95","-0.0085","4.38","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-03,"10.4600","98184585","1028648883.43","-0.0085","4.34","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-08,"10.4300","90636052","945290441.32","-0.0029","4.33","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-09,"10.4000","85715673","891468991.01","-0.0029","4.31","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-10,"10.2800","124639082","1288696196.29","-0.0115","4.26","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-12,"10.0600","130545371","1322011753.93","-0.0185","4.17","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-15,"10.2900","145320260","1486326196.01","0.0229","4.27","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-16,"10.2800","147803643","1523138499.07","-0.0010","4.26","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-17,"10.6200","223264057","2337576586.88","0.0331","4.40","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-18,"10.8000","316591426","3427338981.81","0.0169","4.48","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-19,"10.6900","145767502","1562376146.58","-0.0102","4.43","0.44","1.52","1.13","2.39","9.835300"
"3","000001",2024-04-22,"10.5000","200981837","2125722741.41","-0.0178","4.36","0.44","1.52","1.13","0.77","3.075100"
"3","000001",2024-04-23,"10.5400","124002700","1308866093.13","0.0038","4.37","0.44","1.52","1.13","0.77","3.075100"
"3","000001",2024-04-24,"10.5300","94156774","989093538.21","-0.0009","4.37","0.44","1.52","1.13","0.77","3.075100"
"3","000001",2024-04-25,"10.6100","111381224","1176304524.86","0.0076","4.40","0.44","1.52","1.13","0.77","3.075100"
"3","000001",2024-04-26,"10.6000","160762751","1698581436.96","-0.0009","4.40","0.44","1.52","1.13","0.77","3.075100"
"3","000001",2024-04-29,"10.8100","216917737","2337350883.73","0.0198","4.48","0.44","1.52","1.13","0.77","3.075100"
