CompanyCode,Stkcd,Date,Clpr,Trdvol,Trdsum,Dret,PE,PB,PCF,PS,EPS,ROE
3,1,2022-09-29,11.86,91771804.0,1100405198.17,-0.0206,5.64,0.74,-17.99,1.89,1.14,5.3599
3,1,2022-09-30,11.84,53723019.0,638906947.77,-0.0017,5.63,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-10,11.47,96608018.0,1119089730.68,-0.0312,5.66,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-11,11.48,41525337.0,476749226.5,0.0009,5.66,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-12,11.6,55957243.0,641776508.91,0.0105,5.72,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-13,11.34,85261597.0,970021739.4,-0.0224,5.59,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-14,11.53,109606158.0,1265486550.33,0.0168,5.69,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-17,11.48,102482271.0,1171523550.16,-0.0043,5.66,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-18,11.48,94683709.0,1091646643.72,0.0,5.66,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-19,11.29,92398968.0,1049700767.19,-0.0166,5.57,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-20,11.2,78192323.0,876967150.61,-0.008,5.52,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-21,11.09,78557429.0,876648490.61,-0.0098,5.47,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-24,10.62,138339065.0,1496043940.13,-0.0424,5.24,0.57,-1.19,1.36,1.14,5.3599
3,1,2022-10-25,10.65,131697940.0,1406437766.06,0.0028,5.25,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-10-26,10.66,114382988.0,1220733277.85,0.0009,5.26,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-10-27,10.68,95738346.0,1024868047.21,0.0019,5.27,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-10-28,10.42,105794701.0,1114999302.11,-0.0243,5.14,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-10-31,10.34,98309569.0,1016230012.22,-0.0077,5.1,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-01,10.67,138123413.0,1459758367.32,0.0319,5.26,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-02,10.63,130298818.0,1377816220.13,-0.0037,5.24,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-03,10.44,98353561.0,1028904286.04,-0.0179,5.15,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-04,10.82,177611223.0,1903720943.52,0.0364,5.34,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-07,10.88,98808204.0,1070554832.9,0.0055,5.36,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-08,10.85,58322205.0,632835804.82,-0.0028,5.35,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-09,10.89,83210685.0,911153622.45,0.0037,5.37,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-10,10.87,55202119.0,596916589.27,-0.0018,5.36,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-11,11.43,254507055.0,2878557391.61,0.0515,5.64,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-14,11.95,387208410.0,4637823413.97,0.0455,5.89,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-15,12.01,157390134.0,1891249648.05,0.005,5.92,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-16,11.82,127869288.0,1519133931.85,-0.0158,5.83,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-17,11.69,109104716.0,1273790880.66,-0.011,5.76,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-18,11.59,86809329.0,1011078679.59,-0.0086,5.71,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-21,11.46,104773707.0,1189388618.26,-0.0112,5.65,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-22,11.82,149132388.0,1748727406.58,0.0314,5.83,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-23,11.82,124765653.0,1483352651.73,0.0,5.83,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-24,11.77,79671882.0,941002372.92,-0.0042,5.8,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-25,12.17,176072817.0,2130171604.64,0.034,6.0,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-28,11.81,133156295.0,1568351120.17,-0.0296,5.82,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-29,12.99,474927650.0,6026006641.97,0.0999,6.41,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-11-30,13.03,320962830.0,4206404173.08,0.0031,6.43,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-01,13.1,200268883.0,2658203027.2,0.0054,6.46,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-02,12.9,140420278.0,1803658762.25,-0.0153,6.36,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-05,13.53,228762742.0,3057231972.57,0.0488,6.67,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-06,13.43,125257891.0,1680593515.5,-0.0074,6.62,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-07,13.15,137737690.0,1815667663.45,-0.0208,6.48,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-08,13.36,106572280.0,1422047904.5,0.016,6.59,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-09,13.7,161583192.0,2197501648.81,0.0254,6.76,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-12,13.11,139258428.0,1848277966.6,-0.0431,6.46,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-13,13.24,90228513.0,1194285343.09,0.0099,6.53,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-14,13.23,97406110.0,1287867945.07,-0.0008,6.52,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-15,13.1,83534926.0,1094434005.98,-0.0098,6.46,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-16,13.34,92425167.0,1225269166.25,0.0183,6.58,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-19,13.04,103086606.0,1355435567.16,-0.0225,6.43,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-20,12.76,89621223.0,1150630681.38,-0.0215,6.29,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-21,12.89,61458964.0,791782473.29,0.0102,6.36,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-22,12.95,67239430.0,876159828.48,0.0047,6.39,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-23,12.98,56442641.0,730705958.53,0.0023,6.4,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-26,12.77,79711987.0,1021903962.65,-0.0162,6.3,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-27,13.11,88600412.0,1160090119.01,0.0266,6.46,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-28,13.14,79119198.0,1042402080.41,0.0023,6.48,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-29,13.03,66689009.0,865144967.1,-0.0084,6.43,0.57,-1.19,1.36,0.75,3.4254
3,1,2022-12-30,13.16,81803598.0,1074756753.75,0.01,6.49,0.57,-1.19,1.36,0.75,3.4254
3,1,2023-01-03,13.77,219412794.0,2971546989.04,0.0464,5.87,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-04,14.32,218968253.0,3110729449.03,0.0399,6.11,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-05,14.48,166542518.0,2417272355.99,0.0112,6.17,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-06,14.62,119574471.0,1747915169.26,0.0097,6.23,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-09,14.8,105765911.0,1561368487.3,0.0123,6.31,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-10,14.44,126942339.0,1851093716.76,-0.0243,6.16,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-11,14.67,83056612.0,1217450811.64,0.0159,6.25,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-12,14.67,62569484.0,914367699.65,0.0,6.25,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-13,14.95,94908583.0,1407181074.29,0.0191,6.37,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-16,15.08,156003989.0,2356399992.83,0.0087,6.43,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-17,14.97,93583454.0,1396151514.52,-0.0073,6.38,0.62,-1.33,1.51,0.75,3.4254
3,1,2023-01-18,15.11,71843403.0,1083362997.53,0.0094,6.44,0.62,-1.33,1.51,0.75,3.4254
