CompanyCode,Stkcd,Date,Clpr,Trdvol,Trdsum,Dret,PE,PB,PCF,PS,EPS,ROE
3,1,2021-01-04,18.6,155421643.0,2891682312.05,-0.0383,12.48,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-05,18.17,182135210.0,3284606913.91,-0.0231,12.19,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-06,19.56,193494512.0,3648521909.1,0.0765,13.12,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-07,19.9,158418530.0,3111274625.37,0.0174,13.35,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-08,19.85,119547322.0,2348316363.18,-0.0025,13.32,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-11,20.38,179045714.0,3652546646.82,0.0267,13.67,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-12,21.0,128816550.0,2657687440.67,0.0304,14.09,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-13,20.7,104911973.0,2161849708.04,-0.0143,13.89,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-14,20.17,113015562.0,2306404546.81,-0.0256,13.53,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-15,21.0,248068898.0,5311218074.76,0.0412,14.09,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-18,22.7,215730178.0,4792909447.95,0.081,15.23,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-19,22.34,124208834.0,2790056611.29,-0.0159,14.99,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-20,22.47,128079316.0,2889249850.45,0.0058,15.07,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-21,22.23,94477860.0,2114252731.64,-0.0107,14.91,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-22,22.03,92443442.0,2025834761.54,-0.009,14.78,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-25,22.49,102836527.0,2269032820.67,0.0209,15.09,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-26,22.37,112672055.0,2558575511.97,-0.0053,15.01,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-27,23.08,129415272.0,2976800955.73,0.0317,15.48,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-28,22.81,85747696.0,1948881146.95,-0.0117,15.3,1.07,-9.38,2.72,1.15,6.243
3,1,2021-01-29,23.09,124025841.0,2864101419.33,0.0123,15.49,1.07,-9.38,2.72,1.15,6.243
3,1,2021-02-01,24.55,147523930.0,3529556986.77,0.0632,16.47,1.07,-9.38,2.72,1.15,6.243
3,1,2021-02-02,23.28,241616877.0,5679179941.74,-0.0517,15.62,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-03,24.95,192327159.0,4690176486.28,0.0717,16.74,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-04,24.6,125524750.0,3084553750.95,-0.014,16.5,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-05,24.93,101557559.0,2517804159.63,0.0134,16.72,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-08,24.8,108426467.0,2650948251.38,-0.0052,16.64,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-09,24.58,94209355.0,2302978158.4,-0.0089,16.49,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-10,23.82,191886710.0,4569741959.9,-0.0309,15.98,1.07,-9.38,2.72,1.49,7.9444
3,1,2021-02-18,24.3,150523081.0,3619387651.71,0.0202,16.3,1.07,-9.38,2.72,1.49,7.9444
